ahora,now
aquí,here
carta,letter
cartas,cards
correo electrónico,email
cuál,which one
escribe,writes
escribes,you write
escribir,to write
escribo,I write
escritorio,desk
escritorios,desks
jefa,boss
jefas,bosses
jefe,chief
las,the
lee,read
leer,read
lees,you read
leo,I read
los,the
mensaje,message
mensajes,posts
mucho,a lot of
negocio,deal
negocios,business
nueva,new
nuevo,new
para,for
poco,little bit
problema,issue
problemas,problems
secretaria,Secretary
secretarias,secretaries
secretario,secretary
tener,have
trabajo,worked
trabajos,works
