año nuevo,new Year
comía,I used to eat
comíamos,we ate
comían,they ate
durante,during
día de acción de gracias,Thanksgiving Day
era,it was
eran,they were
especial,special
especiales,specials
iglesia,church
iglesias,churches
jugaba,played
jugaban,they played
jugábamos,we played
navidad,Christmas
nochebuena,good night
nochevieja,New Years Eve
tarjeta,card
tenía,I had
teníamos,we had
tenían,They had
tradiciones,traditions
tradición,tradition
visitaba,visited
visitaban,they visited
vivía,she lived
vivíamos,we lived
vivían,they lived
éramos,we were
