muy,"very, too, really"
tan,"so, as, that"
menos,"less, minus, fewer"
donde,"where, when, because"
además,"besides, in addition, also"
sólo,"only, just, alone"
general,"generals, general"
supuesto,"supposed, assumed"
aún,"still, yet, even"
especialmente,especially
quizá,"perhaps, maybe, may"
alrededor,"around, about, round"
simplemente,"simply, just"
realmente,"really, actually"
totalmente,"totally, completely, quite"
quizás,"maybe, perhaps, might"
prácticamente,"practically, virtually"
debajo,under
adelante,"forward, bring forward!, move forward!"
igualmente,"equally, likewise"
principalmente,"mainly, chiefly, principally"
únicamente,"only, solely"
aproximadamente,"approximately, about, around"
perfectamente,perfectly
seguramente,"surely, certainly, probably"
nuevamente,"again, once again"
naturalmente,"naturally, of course"
exactamente,exactly
absolutamente,"absolutely, totally"
definitivamente,"definitely, for good, once and for all"
necesariamente,necessarily
relativamente,relatively
apenas,"barely, just, almost"
músicas,scored
ritmo,"rhythm, beat, pace"
poesía,poetry
flauta,"flute, flute player, French stick"
instrumento,"instrument, musical instrument, (I) implement"
instrumentos,"instruments, musical instruments, means"
moda,"fashion, fashions, look"
modas,"fashions, looks"
disco,"record, disk, (I) dial"
arquitectura,architecture
orquesta,orchestra
danzas,"dances, (you) dance, (you) on the go"
danza,"dance, dancing"
cuadros,"paintings, pictures"
cuadro,"painting, picture"
actuación,"performance, acting, action"
escenario,stage
musicales,"musical, Music"
musical,"musical, music"
fotografía,"photography, photograph"
fotografías,"photographs, pictures"
actos,"acts, actions"
acto,act
letras,"lyrics, arts, handwriting"
letra,"lyrics, handwriting, arts"
pasión,"passion, love"
pasiones,"passions, loves"
tiempos,"times, to play for time, movements"
procesos,"processes, courses, processing"
proceso,"(I) process, (I) word-process, (I) prosecute"
obras,"works, (you) act, (you) have a bowel movement"
obra,"play, performance"
realidad,reality
nombres,"names, first names"
informaciones,"information, news item, directory enquiries"
públicos,"public, publics, spectators"
público,"public, open, crowd"
verdades,"(?) are they, (?) aren't there, (?) is he"
acciones,"actions, (you) activate, (you) operate"
acción,"action, act, lawsuit"
sector,"sector, area, group"
movimientos,"movements, activities, changes"
movimiento,"movement, activity, change"
posibilidades,"possibilities, chance, chances"
posibilidad,"possibility, chance, means"
código,code
capacidades,"abilities, capacities"
capacidad,"capacity, ability, able"
investigaciones,"research, investigations, criminal investigation department"
investigación,"investigation, research"
efectos,"effects, bill of exchange, contents"
efecto,"effect, bill of exchange, contents"
necesidades,"needs, essential, essentials"
necesidad,"necessity, need, essential"
control,control
origen,"origin, country of origin, point of origin"
oficiales,"officers, official, officials"
oficial,"official, officer, police officer"
crecimiento,growth
construcción,"construction, building, structure"
práctica,"practice, teaching practice, experience"
memoria,"memory, memoirs, report"
memorias,"report, memoir, memoirs"
expresión,"expression, term"
conciencia,"conscience, awareness, consciousness"
creación,creation
aspectos,"aspects, appearances, looks"
aspecto,"aspect, appearance, look"
mirada,"look, gaze, careful with money"
suertes,"luck, lucky"
ocasión,occasion
juicio,"trial, judgment, mind"
término,"term, conclusion, end"
términos,"terms, conclusion, conclusions"
selección,"selection, choice"
selecciones,"selections, (you) choose, (you) select"
redes,"lets, networks"
acceso,"access, accession, attack"
visión,"vision, sight, view"
aplicación,app
aplicaciones,"applications, application, coat"
pensamientos,"thoughts, pansies, thinking"
pensamiento,"thought, pansy, thinking"
frecuencia,frequency
altura,"height, altitude, heights"
escena,scene
protección,protection
circunstancias,circumstances
propósito,"purpose, aim"
intención,"intention, purpose"
gesto,gesture
influencia,"influence!, (you-formal) influence, (he/she/it) influences"
belleza,"beauty, look, looking"
ceremonia,"ceremony, exercise, exercises"
unidad,"unit, unity, aircraft"
unidades,"units, aircraft, vessels"
unión,"union, association, join"
conducta,"behavior, conduct"
consecuencia,"consequence, accordingly, result"
consecuencias,"consequences, accordingly, results"
versión,"version, covers, model"
pérdida,"waste, loss, heavy bleeding"
distribución,"distribution, arrangement, layout"
distribuciones,"distributions, arrangements, layouts"
presencia,"presence, (he/she/it) is present at, (he/she/it) attends"
edición,"edition, program, publication"
identidad,identity
comportamiento,"behavior, performance"
compromiso,"commitment, political commitment, agreement"
división,"division, sharing, sharing out"
divisiones,"divisions, sharing, splittings"
continuación,continuation
puestos,"places, positions, jobs"
puesto,"put, (I) have on, (she) has on"
sombra,"shadow, blemish, cooler"
margen,"margin, (road) side"
caída,"fall, let drop / fall, been"
misión,"mission, run, running"
preocupación,"worry, concern, worried"
preocupaciones,"worries, concerns"
esfuerzos,efforts
esfuerzo,effort
perspectiva,"perspective, prospect, view"
factor,"factor, luggage clerk, quartermaster"
factores,"factors, luggage clerk, quartermaster"
categorías,categories
categoría,category
concentración,"concentration, mass meeting, pre-game / pre-match preparation"
motivos,"reasons, motifs, motives"
motivo,"reason, (I) motivate, motive"
honor,"honor, honors, virtue"
recurso,"resource, appeal, facility"
recursos,"resources, appeal, appeals"
propuestas,"proposals, designs, offers"
propuesta,"proposal, design, nominated"
sesiones,sessions
sesión,session
intensidad,"intensity, strength"
sueños,"dreams, sleeps"
impacto,"impact, (I) have a profound impact on, (I) hit"
excepción,"exception, objection, special"
críticas,"criticisms, she's going through the change, she's at that difficult age"
orden,"order, command"
órdenes,"orders, servings"
definición,definition
definiciones,definitions
fracaso,"failure, fail, (I) fail"
cargo,"position, (I) charge, (I) carry"
cargos,"charges, positions, posts"
pausa,"pause, rest"
extensión,"extension, extension lead, extent"
dificultades,difficulties
dificultad,"difficulty, make … difficult!"
reflexiones,"thoughts, reflections, (you) reflect"
reflexión,"reflection, thought"
cumbre,"summit, height, top"
cumbres,"summits, heights, tops"
signo,"(I) sign, (I) cross oneself, (I) mark"
dimensiones,"dimensions, (you) gauge, (you) measure"
petición,"petition, request"
transformaciones,"transformations, changes, conversions"
transformación,"transformation, change, conversion"
obligación,"obligation, duty, responsibility"
colección,collection
evidencia,"evidence, proof, show!"
procedimientos,"procedures, processes, systems"
procedimiento,"procedure, operation, proceedings"
publicaciones,publications
publicación,publication
fenómenos,"phenomena, freaks, geniuses"
fenómeno,"phenomenon, freak, genius"
actitud,"attitude, posture"
actitudes,"attitudes, postures"
instalación,"installation, facility, installations"
instalaciones,"facilities, facility, installation"
introducción,"introduction, insertion"
transporte,"transportation, means of transport, (I/he/she/it/you) transmit"
cola,tail
cantidades,"lengths, amounts, amount"
panorama,"view, outlook, panorama"
oscuridad,"dark, darkness, obscureness"
conservación,"preservation, conservation, preserving"
disminución,"decrease, decline, decreasing"
conclusión,"conclusion, completion, summing-up"
conclusiones,"conclusions, completion, conclusion"
permiso,"permission, permit, leave"
rival,rival
rivales,rivals
destrucción,destruction
bienestar,"well-being, welfare, wellness"
escándalo,scandal
revisión,"inspection, revision, check"
símbolos,symbols
símbolo,symbol
igualdad,"equality, equation"
confusión,"confusion, embarrassment"
perfil,"profile, cross section, footprint"
alternativas,"options, alternative, alternatives"
alternativa,"alternative, in rotation"
fama,"reputation, fame, butcher's"
maneras,"ways, manner, manners"
responsabilidad,"responsibility, liability"
clave,key
ataque,"attack!, (I/he/she/it/you) attack, (I/he/she/it/you) tackle"
reacción,"reaction, right wing"
reacciones,"reactions, (you) react, right wing"
fuerza,"force!, (you-formal) force, strength"
fuerzas,"strengths, (you) force, (you) make / force oneself"
figura,"figure, (he/she/it) is prominent, (he/she/it) appears"
disciplina,"discipline!, (you-formal) discipline, (he/she/it) disciplines"
disciplinas,"disciplines, (you) discipline, subjects"
oferta,"offer, sale"
contrato,"(I) contract, (I) enter into a contract, (I) put … out to contract"
contratos,contracts
cifra,"number, (he/she/it) writes … in code, (you-formal) write … in code"
cifras,"figures, numbers, (you) encode"
interés,"interest, interests"
intereses,"interest, (you) take interest, interests"
tasa,"tax, assess the value of!, (he/she/it) assesses the value of"
comercio,"trade, business, (I) trade"
ejecutivo,executive
industria,"industry, diligence, ingenuity"
deuda,debt
venta,"sale, hostelry, inn"
crédito,credit
porcentaje,percentage
cuentas,"(you) count on, accounts, bills"
ingresos,"income, admission, admissions"
ingreso,"admission, income, (I) admit"
fortuna,fortune
costos,"hashes, costs"
junta,"meeting, board, committee"
juntas,together
propiedades,properties
propiedad,"property, estate"
oros,"bands, earrings"
conferencia,"conference, lecture, (he/she/it) holds talks"
economía,"economy, economics, finances"
económicos,"economical, cheap, economic"
económico,"cheaper, economic, inexpensive"
económica,"economic, inexpensive, thrifty"
inversiones,"investments, inversion, inversions"
inversión,"investment, inversion, reversal"
negociación,"negotiation, deal"
negociaciones,"negotiations, businesses, negotiation"
inflación,inflation
seas,"be, (you) be"
sea,sea
sean,"be, (they) are, (they) will be"
comamos,"let's eat, (we) eat"
coman,"eat, eat!, (you-plural) eat (command)"
beban,"drink, drink!, (you-plural) drink (command)"
beba,(you) drink
bebamos,"drink, let's drink, (let us) drink"
pagues,"(you) pay, (you) pay for, (you) pay off"
escriba,(you) write
escribas,"write, (you) write, scribe"
tengas,"(you) have, having"
tengan,(they) have
tenga,"(he) has, have"
tengamos,"let's have, (let us) have, we have"
vayas,(you) go
vaya,"(I) go, (he) is going, (you) go"
hagas,"(you) do, (you) make, (you) ask"
haga,"(he) makes, (you) ask, (you) do"
firmen,"sign!, sign on!, (they/you-plural) sign"
firme,"sign!, sign on!, (I/he/she/it/you) sign"
vivas,"(you) live, (you) cheer, (you) be alive"
vivan,"live!, (they/you-plural) live, (they/you-plural) cheer"
viva,"live, alive, live!"
cierre,"zipper, close!, shut!"
cierren,"close, close!, close up!"
cierres,"(you) close, (you) do up, (you) close down"
pase,"pass (on)!, happen!, go through!"
quieras,"(you) want, want"
quiera,"wants, (I/he/she/it/you) want"
llama,"(he) calls, (you) call"
llamen,(you) call
diga,"tell, say to oneself!, (I/he/she/it/you) say to oneself"
digas,"(you) say, (you) tell"
vengan,"(they) come, come"
venga,"come, come!, (I/he/she/it/you) come"
miren,"look!, look at!, look after!"
llévate,"Take, take!, go!"
explicáis,you explain
suma,"sum, (he/she/it) adds, (he/she/it) adds up"
historias,stories
educación,"education, learning, manners"
colegio,school
grados,"degrees, forms, grades"
grado,"grade, degree"
ausencia,"absence, lack"
ausencias,"absences, lacks"
lectura,"reading, interpretation, lecture"
inteligencia,"intelligence, intelligentsia, understanding"
conocimientos,"knowledge, consciousness, consciousnesses"
conocimiento,"knowledge, consciousness"
discusión,"discussion, argument"
facultad,"faculty, authority, college"
explicaciones,explanations
explicación,explanation
alegría,"joy, happiness, cheers"
felicidad,"happiness, Happy Birthday!, Happy New Year!"
felicidades,congratulations
amores,"dear, darling, honeys"
sonrisa,smile
tensión,"tension, blood pressure, strain"
miedos,"fear, afraid, scared"
dolores,"pains, hurts, pain"
esperanza,hope
temor,fear
placer,"pleasure, it's, kick"
soledad,"loneliness, solitude"
humores,"mood, humor"
satisfacción,"satisfaction, fulfillment, payment"
celebración,"celebration, celebrations"
curiosidad,"curiosity, neatness"
deseos,"wishes, desires"
deseo,"wish, (I) wish, (I) want"
sentimientos,"feelings, feeling"
sentimiento,"feeling, feelings"
teniendo,"having, taking"
pagando,"paying, paying for, paying off"
corriendo,running
tocando,"playing, touching"
dando,"giving, going"
pasando,"happening, going on, having"
dejando,"leaving, letting, abandoning"
utilizando,using
incluyendo,"including, even"
mirando,"looking at, watching"
voz,"voice, rumor, shouting"
voces,"voices, rumor, rumors"
prensa,"press!, printing press, (you-formal) press"
comunicaciones,"communications, communication, connection"
comunicación,"communication, communications, connection"
lenguajes,languages
lenguaje,language
argumento,"argument, (I) argue, plot"
argumentos,"arguments, plots, stories"
secreto,"secret, (I) secrete"
secretos,secrets
grito,"scream, (I) shout, call"
gritos,"shouts, cries, calls"
comentarios,"comments, commentaries, notes"
comentario,"comment, call, commentary"
silencio,quiet
postales,postcards
postal,postcard
editorial,"editorial, leader, leading article"
internets,Internet
izquierdas,left
derechas,"straight, honest, right hand"
lado,side
orientación,"direction, orientation, aspect"
fin,"end, order"
posiciones,"positions, social standing, stance"
posición,"position, lie, social standing"
paso,"step, (I) spend, (I) am spending"
pasos,"steps, float, floats"
exteriores,"foreign, exterior, external"
exterior,"abroad, exterior, outside"
labios,"lips, labia"
oído,"heard, ear"
oídos,"ears, hearings, inner ears"
