Word,Translations
hace frío,it's cold
hace calor,is hot
sol,"sun, sunny"
viento,"wind, windy"
mal tiempo,bad weather
buen tiempo,good weather
qué tiempo hace,what's the weather like
nublado,cloudy
oscuro,dark
cómo está el tiempo,how's the weather
invierno,winter
enero,January
febrero,February
marzo,March
nieva,"(?) is it snowing, snow, (it) snows"
llueve,"(?) does it rain, (it) rains, it's raining"
primavera,spring
abril,April
mayo,May
junio,June
julio,"July, Julio"
otoño,"fall, autumn"
mes,month
agosto,August
septiembre,September
octubre,October
noviembre,November
diciembre,December
