me cae bien,I like (him/her/it)
felicitaciones,congratulations
asaremos,(we) will grill
asarás,(?) will you grill
asaré,(I) will grill
asará,(she) will grill
asarán,(they) will grill
nos amamos,we love each other
se amaron,they loved
se amaban,they loved
se aman,they love each other
musicales,"musical, Music"
musical,"musical, music"
nos besaremos,we will kiss
se besan,(they/you-plural)  kiss
se besaron,they kissed
nos besamos,we kissed
instrumento,"instrument, musical instrument, (I) implement"
instrumentos,"instruments, musical instruments, means"
nos ayudamos,we help us
se ayudaron,they helped
se ayudan,they help each other
me cae mal,I don't like him
desde,"from, since, as"
picar,"(to) bite, snack, (to) snack"
picando,snacking
rebanadas,slices
rebanada,slice
rico,"rich, delicious, tasty"
rica,"rich, tasty, wealthy"
ricas,"delicious, rich, tasty"
ricos,"rich, delicious, tasty"
nos conocemos,"(we) know each other, (we)have known each other"
se conocen,they know each other
el uno al otro,each other
pertenezco,belong
pertenecer,"(to) belong, belong, belonging"
perteneces,(you) belong
pertenece,"(?) does it belong, (it) belongs, belong"
soul,"soul, souls, core"
escenario,stage
envía,"(you-formal) send, (he/she/it) dispatches, (you-formal) dispatch"
envío,"(I) dispatch, (I) send, remittance"
envían,(they) send
envías,(you) send
enviamos,(we) sent
nos escribimos,we write
se escriben,(they/you-plural)  write
esquías,(you) ski
esquía,(she) skis
esquío,(I) ski
esquiamos,we ski
esquían,(they) ski
mejor,"better, best, instead"
ajo,garlic
en línea,online
parlantes,speakers
se abrazan,they hug
nos abrazamos,We hug
se abrazaron,They embraced
nos odiamos,we hate each other
se odian,they hate each other
se odiaron,they hated each other
